# stan_version_major = 2
# stan_version_minor = 17
# stan_version_patch = 1
# model = nullml_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = checking.data.R
# init = checking.init.R
# random
#   seed = 782630709
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha_raw,tau_theta,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,mu_theta,alpha
# Adaptation terminated
# Step size = 0.105792
# Diagonal elements of inverse mass matrix:
# 1.56706e-05, 0.131556, 0.0275045, 0.0321792, 0.0283959, 0.0340268, 0.0358156, 0.0274527, 1.37206
-8031.59,0.967028,0.105792,4,23,0,8037.19,0.0281966,10.0058,-6.76232,-7.47945,-6.97479,-6.9154,-6.96067,-7.01226,-0.0814663,1.32573
-8031.21,0.823838,0.105792,4,31,0,8034.57,0.0263143,7.39948,-6.97791,-7.38092,-6.89682,-6.73386,-6.78096,-6.90703,-1.2698,1.30101
-8031.51,0.859206,0.105792,4,15,0,8040.43,0.0277759,7.77112,-7.02671,-7.53318,-6.88576,-6.75361,-6.74169,-7.08291,-0.343287,1.32017
-8031.93,0.765585,0.105792,4,15,0,8037.21,0.0274836,7.32865,-6.74701,-7.41382,-6.9267,-6.95689,-7.05061,-6.95497,-0.148041,1.31632
-8032.01,0.652409,0.105792,4,31,0,8041.17,0.0273234,4.55617,-7.0539,-7.52419,-6.87493,-6.78739,-6.98533,-7.05816,-1.13873,1.31421
-8028.65,0.998823,0.105792,5,31,0,8033.96,0.0266945,9.72651,-6.78224,-7.40249,-6.86032,-6.90696,-6.8006,-6.92065,-0.854682,1.30597
-8030.65,0.893122,0.105792,6,63,0,8035.18,0.0295819,7.78451,-6.99473,-7.59293,-6.99273,-7.16479,-7.08447,-7.07071,-1.64216,1.34423
-8031.78,0.793212,0.105792,4,15,0,8040,0.0301576,4.34268,-7.05855,-7.79699,-7.11467,-6.94957,-6.93895,-7.18902,-2.05876,1.35199
-8032.29,0.858234,0.105792,4,15,0,8035.97,0.0300426,5.588,-7.09162,-7.52722,-7.0241,-7.14891,-7.09177,-6.95246,-1.71998,1.35043
-8029.41,0.999494,0.105792,4,31,0,8036.43,0.0285408,6.26462,-7.07435,-7.45548,-6.98905,-6.98651,-6.88507,-6.98001,-0.572558,1.3303
-8029.25,0.996733,0.105792,4,15,0,8031.7,0.0283847,6.02457,-6.90899,-7.61378,-6.95188,-6.85003,-7.05197,-6.92372,-0.65015,1.32823
-8028.74,0.913064,0.105792,4,31,0,8033.29,0.0286065,10.3769,-6.98439,-7.55439,-6.95077,-7.01019,-6.88976,-7.0071,-0.148682,1.33118
-8029.27,0.972847,0.105792,5,47,0,8032.88,0.0287095,4.10618,-6.92175,-7.55522,-6.97498,-6.79365,-6.99808,-7.08062,-1.55328,1.33255
-8031.68,0.724678,0.105792,5,47,0,8034.27,0.0254384,5.81388,-6.81736,-7.40564,-6.82843,-6.91579,-6.69888,-6.87541,-1.83196,1.28967
-8029.02,0.969908,0.105792,4,15,0,8033.99,0.0259148,7.79168,-6.8922,-7.40109,-6.80989,-6.78949,-6.83123,-6.93175,-1.61475,1.29583
-8037.8,0.717392,0.105792,4,31,0,8041.48,0.0247215,6.08078,-6.90358,-7.10441,-6.81118,-6.76103,-6.8281,-6.9523,-2.10366,1.28045
-8039.24,0.918883,0.105792,4,15,0,8044.95,0.0265115,3.99339,-6.64407,-7.57408,-6.76896,-6.71955,-6.65583,-6.86148,-3.50032,1.30358
-8032.45,0.945639,0.105792,4,15,0,8042.66,0.0265236,3.02868,-6.97395,-7.35439,-6.86648,-6.73881,-6.781,-6.97829,-3.69372,1.30374
-8031.54,0.923032,0.105792,4,15,0,8039.51,0.0282397,4.44202,-6.78368,-7.52659,-7.00831,-6.94143,-6.98463,-7.06267,-1.81499,1.3263
-8031.83,0.991376,0.105792,4,31,0,8034.38,0.0282464,3.99834,-6.78372,-7.45248,-6.99781,-6.93477,-6.95156,-7.09635,-1.90676,1.32639
-8030.84,0.987176,0.105792,5,47,0,8034.84,0.0268661,8.34453,-7.01459,-7.44955,-6.84137,-6.79694,-6.80823,-6.82737,0.0122155,1.30821
